WARNING:root:DQN trained on CartPole-v0
WARNING:root:{'LEARN_FREQ': 3, 'MEMORY_SIZE': 20000, 'MEMORY_WARMUP_SIZE': 300, 'BATCH_SIZE': 64, 'LEARNING_RATE': 0.001, 'GAMMA': 0.99, 'E_GREEDY': 0.1, 'E_GREEDY_DECREMENT': 1e-06, 'max_episode': 1000}
WARNING:root:train episode 346 : reward 188.0, steps 188
WARNING:root:train episode 347 : reward 200.0, steps 200
WARNING:root:train episode 348 : reward 162.0, steps 162
WARNING:root:train episode 349 : reward 140.0, steps 140
WARNING:root:train episode 350 : reward 181.0, steps 181
WARNING:root:train episode 351 : reward 159.0, steps 159
WARNING:root:evaluate 5 episodes : e_greedy 0.08666299999998667, reward 178.4
WARNING:root:train episode 352 : reward 182.0, steps 182
WARNING:root:train episode 353 : reward 156.0, steps 156
WARNING:root:train episode 354 : reward 150.0, steps 150
WARNING:root:train episode 355 : reward 177.0, steps 177
WARNING:root:train episode 356 : reward 200.0, steps 200
WARNING:root:train episode 357 : reward 200.0, steps 200
WARNING:root:train episode 358 : reward 157.0, steps 157
WARNING:root:train episode 359 : reward 175.0, steps 175
WARNING:root:train episode 360 : reward 119.0, steps 119
WARNING:root:train episode 361 : reward 163.0, steps 163
WARNING:root:train episode 362 : reward 170.0, steps 170
WARNING:root:train episode 363 : reward 195.0, steps 195
WARNING:root:train episode 364 : reward 178.0, steps 178
WARNING:root:train episode 365 : reward 171.0, steps 171
WARNING:root:train episode 366 : reward 151.0, steps 151
WARNING:root:train episode 367 : reward 200.0, steps 200
WARNING:root:train episode 368 : reward 169.0, steps 169
WARNING:root:train episode 369 : reward 160.0, steps 160
WARNING:root:train episode 370 : reward 190.0, steps 190
WARNING:root:train episode 371 : reward 142.0, steps 142
WARNING:root:train episode 372 : reward 167.0, steps 167
WARNING:root:train episode 373 : reward 182.0, steps 182
WARNING:root:train episode 374 : reward 165.0, steps 165
WARNING:root:train episode 375 : reward 200.0, steps 200
WARNING:root:train episode 376 : reward 193.0, steps 193
WARNING:root:train episode 377 : reward 200.0, steps 200
WARNING:root:train episode 378 : reward 180.0, steps 180
WARNING:root:train episode 379 : reward 200.0, steps 200
WARNING:root:train episode 380 : reward 174.0, steps 174
WARNING:root:train episode 381 : reward 200.0, steps 200
WARNING:root:train episode 382 : reward 200.0, steps 200
WARNING:root:train episode 383 : reward 200.0, steps 200
WARNING:root:train episode 384 : reward 192.0, steps 192
WARNING:root:train episode 385 : reward 170.0, steps 170
WARNING:root:train episode 386 : reward 200.0, steps 200
WARNING:root:train episode 387 : reward 158.0, steps 158
WARNING:root:train episode 388 : reward 200.0, steps 200
WARNING:root:train episode 389 : reward 152.0, steps 152
WARNING:root:train episode 390 : reward 150.0, steps 150
WARNING:root:train episode 391 : reward 154.0, steps 154
WARNING:root:train episode 392 : reward 178.0, steps 178
WARNING:root:train episode 393 : reward 200.0, steps 200
WARNING:root:train episode 394 : reward 195.0, steps 195
WARNING:root:train episode 395 : reward 188.0, steps 188
WARNING:root:train episode 396 : reward 200.0, steps 200
WARNING:root:train episode 397 : reward 192.0, steps 192
WARNING:root:train episode 398 : reward 200.0, steps 200
WARNING:root:train episode 399 : reward 200.0, steps 200
WARNING:root:train episode 400 : reward 200.0, steps 200
WARNING:root:train episode 401 : reward 200.0, steps 200
WARNING:root:evaluate 5 episodes : e_greedy 0.07766799999997767, reward 197.6
WARNING:root:train episode 402 : reward 200.0, steps 200
WARNING:root:train episode 403 : reward 200.0, steps 200
